iter	Logloss
0	0.6885991595
1	0.6840466632
2	0.6806248991
3	0.6768972949
4	0.6744084934
5	0.6705872497
6	0.6676588525
7	0.6638999843
8	0.6600509047
9	0.6561451157
10	0.6528144591
11	0.648684066
12	0.6452873153
13	0.6422105558
14	0.6386897901
15	0.6344875002
16	0.6311987667
17	0.6283264247
18	0.6254758881
19	0.6220608624
20	0.6191453292
21	0.6160157738
22	0.6133088236
23	0.6097733505
24	0.6065245127
25	0.6034629454
26	0.5996193258
27	0.5967293506
28	0.5939407311
29	0.5914172925
30	0.5884032869
31	0.5854609825
32	0.5827482953
33	0.5802026054
34	0.5775414014
35	0.5751897387
36	0.5722329887
37	0.5696620984
38	0.5664495607
39	0.564059155
40	0.5620763797
41	0.5594308575
42	0.5570053668
43	0.5544830782
44	0.5518904498
45	0.5493465799
46	0.5470165959
47	0.5440984106
48	0.5413099156
49	0.5387714263
50	0.5371213624
51	0.5346429148
52	0.5323510065
53	0.5302301229
54	0.5280809067
55	0.5250881068
56	0.5230511007
57	0.5202870532
58	0.5184173607
59	0.5164671059
60	0.5142971944
61	0.51171543
62	0.5094210622
63	0.5074499585
64	0.5059467406
65	0.5030979169
66	0.5006889838
67	0.4989127338
68	0.4967089396
69	0.4943517524
70	0.4919797611
71	0.4896517025
72	0.4873084424
73	0.4856212571
74	0.4837221073
75	0.4817116266
76	0.4796639715
77	0.4780661304
78	0.4761622128
79	0.4743793706
80	0.4733694279
81	0.4717591526
82	0.4694124437
83	0.4678546088
84	0.4662068092
85	0.4642275386
86	0.4624814442
87	0.460469448
88	0.4583790711
89	0.4569106386
90	0.4550060948
91	0.4529840726
92	0.4516698809
93	0.4498776864
94	0.4479742309
95	0.4467587985
96	0.4448240804
97	0.4431296584
98	0.4408662099
99	0.4396222676
100	0.4383287019
101	0.436532625
102	0.4352070072
103	0.4344458078
104	0.4327926315
105	0.4312037938
106	0.4298148319
107	0.4286439982
108	0.4270223782
109	0.4258996412
110	0.4245628229
111	0.4229297419
112	0.421584512
113	0.420630398
114	0.4192048084
115	0.4174944908
116	0.4161447166
117	0.4148572303
118	0.4136828678
119	0.4122625352
120	0.4102699683
121	0.4084926697
122	0.4074155255
123	0.4066903231
124	0.4055269627
125	0.4042026052
126	0.4032615746
127	0.401674417
128	0.400489549
129	0.3989175335
130	0.3975056086
131	0.3960425285
132	0.3949453733
133	0.3936912265
134	0.3918550524
135	0.3901764373
136	0.3887967855
137	0.387159848
138	0.3862630641
139	0.3848029343
140	0.3831129761
141	0.381663259
142	0.3805968116
143	0.3798702281
144	0.3789373043
145	0.3783038506
146	0.3768736454
147	0.3760356535
148	0.3751641937
149	0.3741967796
150	0.3728929142
151	0.3723535425
152	0.3715926092
153	0.3701622276
154	0.3688951174
155	0.3683479744
156	0.3677231232
157	0.3664432786
158	0.3654980922
159	0.3646138784
160	0.3637525202
161	0.3627425054
162	0.3619541768
163	0.3611654968
164	0.3600440515
165	0.3591386667
166	0.3584889977
167	0.3572928713
168	0.3563170625
169	0.3554365732
170	0.3550136104
171	0.3539966979
172	0.3531011317
173	0.3523371577
174	0.3511441385
175	0.3499444431
176	0.3489677899
177	0.347972436
178	0.346802807
179	0.34594374
180	0.3447022688
181	0.3436553843
182	0.3424588208
183	0.3414474898
184	0.3405768577
185	0.3394881429
186	0.3386784207
187	0.3375823328
188	0.3363984029
189	0.3356825069
190	0.3354839244
191	0.3347672002
192	0.3338678607
193	0.332957956
194	0.3320566663
195	0.3311126034
196	0.3302065768
197	0.3292834669
198	0.3283618386
199	0.3279208561
200	0.3270715546
201	0.3262219448
202	0.3254931743
203	0.3247705275
204	0.3236188115
205	0.3227329316
206	0.3215947202
207	0.3210615226
208	0.3202970212
209	0.3195553696
210	0.3187525485
211	0.3178276551
212	0.3170394879
213	0.3161580577
214	0.3152171958
215	0.3140981773
216	0.3130772356
217	0.312209608
218	0.311612104
219	0.3107847544
220	0.3103436583
221	0.3097594508
222	0.3090991821
223	0.3079599576
224	0.3071833356
225	0.3065662075
226	0.3059401292
227	0.3054068532
228	0.3044712543
229	0.3038710377
230	0.3028710862
231	0.3021096112
232	0.301386304
233	0.3006315632
234	0.3004099921
235	0.2995383854
236	0.298721045
237	0.2979647623
238	0.2973123869
239	0.2965506693
240	0.2960073695
241	0.2953070582
242	0.2945515137
243	0.2938909273
244	0.293287369
245	0.2932200078
246	0.2928137643
247	0.292261532
248	0.2915541603
249	0.2910187825
250	0.2900006927
251	0.289334755
252	0.288933716
253	0.2881245044
254	0.2876592151
255	0.2868042403
256	0.2860585641
257	0.2854522724
258	0.2847808176
259	0.2840594693
260	0.2835223519
261	0.2829418653
262	0.2822328707
263	0.2816893168
264	0.2810035839
265	0.2805872209
266	0.2800788157
267	0.2796382798
268	0.2789861827
269	0.2784642794
270	0.2781222902
271	0.2775461992
272	0.2772972798
273	0.2768056016
274	0.2764575157
275	0.2758738383
276	0.275699707
277	0.2751681835
278	0.2743586508
279	0.273837901
280	0.2731029545
281	0.2725094795
282	0.2719128494
283	0.2712091573
284	0.2705336264
285	0.2701515704
286	0.2697473533
287	0.268927694
288	0.2684717983
289	0.2678872589
290	0.2672264372
291	0.2666823409
292	0.2661685055
293	0.265409037
294	0.2648740737
295	0.2644174964
296	0.263973623
297	0.2636127617
298	0.2631494245
299	0.2627215031
300	0.2626301859
301	0.262207344
302	0.2616134598
303	0.2612707546
304	0.2609111806
305	0.260411357
306	0.2600112388
307	0.2597105758
308	0.2593822892
309	0.2588453142
310	0.2580524083
311	0.257398041
312	0.2568745915
313	0.2567550767
314	0.2563628673
315	0.2557920976
316	0.255314081
317	0.2548915331
318	0.2542387166
319	0.2536932693
320	0.2531713093
321	0.2526355343
322	0.2520844804
323	0.2514499719
324	0.2509846668
325	0.2505539758
326	0.2500758363
327	0.2496973292
328	0.2492850368
329	0.2487690007
330	0.2483761195
331	0.2476897499
332	0.2474318725
333	0.2467379331
334	0.2464646853
335	0.2459097845
336	0.2454367559
337	0.2447767378
338	0.2442551071
339	0.2437538369
340	0.2431782927
341	0.2425310901
342	0.2420603477
343	0.2416708675
344	0.2411879603
345	0.2408642163
346	0.2405001655
347	0.2401033879
348	0.2397454787
349	0.2395811944
350	0.2390118583
351	0.2385258849
352	0.2380768988
353	0.2377965409
354	0.2373570204
355	0.237002318
356	0.2365237335
357	0.2360571635
358	0.2356565928
359	0.2354203815
360	0.2348435805
361	0.2345132247
362	0.234387489
363	0.2340954424
364	0.2337274443
365	0.2336506995
366	0.2330748858
367	0.2326607111
368	0.2322482792
369	0.2321509951
370	0.2317678348
371	0.231520013
372	0.2310151195
373	0.230789673
374	0.2306225855
375	0.2301165297
376	0.229695354
377	0.2293800706
378	0.2291185246
379	0.2286329132
380	0.2282578778
381	0.2279521528
382	0.2276292402
383	0.2272017564
384	0.226761877
385	0.2262201774
386	0.2261450596
387	0.2258322613
388	0.2254545853
389	0.2251080232
390	0.2248131984
391	0.2243621378
392	0.224128589
393	0.2238787744
394	0.2234349429
395	0.2229792593
396	0.2226543965
397	0.2222282658
398	0.2218068421
399	0.2212419455
400	0.2209666544
401	0.22051965
402	0.2200619225
403	0.2196317552
404	0.2190986916
405	0.2188619769
406	0.2184524586
407	0.2183345486
408	0.217743907
409	0.217588411
410	0.2174473937
411	0.2172551159
412	0.2168381532
413	0.2162797889
414	0.2158624957
415	0.215314675
416	0.2147172426
417	0.2144658189
418	0.2140578812
419	0.2135693503
420	0.2132697723
421	0.2130113181
422	0.2127467369
423	0.212312636
424	0.2120547988
425	0.2116823984
426	0.2112536991
427	0.2109285118
428	0.2104375536
429	0.2100731815
430	0.2099249756
431	0.2096063157
432	0.2089702748
433	0.2087311506
434	0.2082371204
435	0.2080266903
436	0.2076163539
437	0.2072545568
438	0.2068681698
439	0.2064209952
440	0.2061070527
441	0.2056286988
442	0.2051813069
443	0.2049899522
444	0.2049237219
445	0.2046634756
446	0.2043904406
447	0.2041123653
448	0.2039087633
449	0.2034351355
450	0.2029736076
451	0.2025073078
452	0.2022767395
453	0.201915136
454	0.2016710536
455	0.2013804584
456	0.2010277415
457	0.200858022
458	0.2006166117
459	0.2004264237
460	0.2001551311
461	0.1999503882
462	0.1997519083
463	0.1993718479
464	0.1990513626
465	0.1986921341
466	0.1985175515
467	0.1983484311
468	0.1980529596
469	0.1977860074
470	0.1974561151
471	0.1970536278
